patch,Faustus,Ritual,Ultimatum,3.18,3.19,3.20,3.21,3.22,3.23,3.24,3.25,All samples
Sample Size,,,,513764,55961,164658,50086,294243,194246,220031,198929,1691918
Rain of Chaos,5,5,,121400,121400,121400,121400,121400,121400,121400,121400,
Mitts,10,4,,4590,5976,5818,5637,6058,5844,5676,5279,
Emperor's Luck,10,5,,51955,44376,43550,51627,53121,54159,51401,50643,
The Lover,10,5,,66053,60076,61848,66353,67504,62926,62519,62738,
Destined to Crumble,15,5,,48865,46116,40199,48979,47245,48180,46146,45583,
The King's Blade,15,5,,43747,41287,41344,42256,45369,42734,43976,42160,
The Scholar,15,5,,47095,42527,47108,50960,46835,47689,46351,46346,
Loyalty,20,5,,35120,32062,33476,35282,34787,32932,33974,34668,
The Metalsmith's Gift,20,5,,35804,30641,37417,35135,36117,35547,34299,34178,
The Carrion Crow,25,5,,24010,19622,25642,25114,24909,23341,24153,22356,
The Catalyst,25,5,,25994,22315,26047,28603,25989,26064,24984,25268,
The Flora's Gift,25,5,,29271,27127,28083,31105,29893,29928,28051,27133,
Three Faces in the Dark,25,5,,23633,21998,25392,25377,23866,24070,23590,24797,
More is Never Enough,30,5,,878,618,750,957,840,750,0,22723,
Lantador's Lost Love,35,5,,17828,16328,15292,16283,17863,17985,17892,17452,
The Doppelganger,35,5,,19848,18968,19864,20417,20300,21265,20846,19622,
The Hermit,35,5,,9765,14597,16805,18846,18141,18147,16721,18774,
The Scarred Meadow,35,5,,4235,16471,17444,18548,18570,17881,17817,17857,
Rats,40,5,,3385,16615,15243,15831,15485,15676,16405,14969,
The Harvester,40,5,,227,15901,17224,19990,17705,16544,16104,16122,
The Witch,40,5,,4810,13689,16922,18076,16892,15944,14845,16018,
The Sword King's Salute,45,5,,5044,12844,14188,14336,14514,14424,13667,14549,
Doedre's Madness,50,5,,18545,12625,11238,13742,12858,13906,11745,12799,
Imperial Legacy,55,5,,12412,10502,10288,14391,13062,11925,12434,11628,
Prosperity,55,5,,12950,11675,12186,12944,11903,13381,11984,11781,
Rain Tempter,55,5,,13097,11167,12367,14065,13646,14205,12313,11805,
The Arena Champion,55,5,,12359,12103,10875,12163,12373,11174,11454,10941,
The Blazing Fire,55,5,,4296,10667,12578,11651,11929,11809,11540,11757,
The Journalist,55,5,,11980,11717,11887,11449,12155,12300,12082,12054,
The Opulent,55,5,,12736,11974,11606,14445,12858,12705,11854,12449,
Three Voices,55,5,,12450,9690,12306,14119,12198,12105,12368,10941,
The Sun,60,5,,1182,10874,11151,11702,11168,10923,10387,11137,
Vinia's Token,60,5,,11390,10916,11635,11047,12137,11681,12412,11734,
Assassin's Favour,65,5,,3838,9057,8288,11753,10572,10243,10252,10290,
Dark Temptation,65,5,,19950,9451,8741,9967,10250,10723,9135,9378,
Glimmer of Hope,65,5,,878,9690,8407,9159,10332,10365,10262,9842,
The Demoness,65,5,,882,8823,10516,10209,10250,10182,9496,10918,
Thunderous Skies,65,5,,16581,9411,10416,11297,10631,10723,10169,9875,
Her Mask,70,5,,9800,9730,8078,9727,9785,9315,9769,9720,
The Chains that Bind,70,5,,10010,8629,9463,10947,9575,9375,9215,9709,
The Tireless Extractor,70,5,,9725,9851,9880,10016,10291,9529,9045,9764,
The Warden,70,5,,9823,8979,9754,8237,9599,10108,9285,9324,
Hunter's Resolve,75,5,,3350,7574,7243,8879,9543,8799,8524,9378,
The Adventuring Spirit,75,5,,3147,7537,9188,10650,9511,9470,9275,9139,
The Army of Blood,75,5,,4702,7833,9284,10258,9407,9209,9576,9324,
The Visionary,75,5,,2560,8514,9175,9253,9996,9292,9617,9368,
Lost Worlds,80,5,,8674,8438,7042,7392,8495,8822,8936,7489,
Boon of Justice,85,4,,7966,8058,7394,9441,8341,7896,8042,7703,
Gemcutter's Promise,85,4,,8128,6389,6843,8102,7961,8567,7900,7785,
The Explorer,85,4,,7986,7280,8078,8832,7750,7222,7852,7256,
The Wrath,85,4,,8305,7684,7484,8237,8105,8441,8311,7888,
A Sea of Blue,90,4,,7623,7426,7004,7967,7885,7496,7533,7286,
The Lunaris Priestess,90,4,,22991,8514,7766,8694,7780,7717,7682,7387,
The Sigil,90,4,,7833,6884,7117,8012,7327,8326,8071,7246,
The Survivalist,90,4,,7326,5638,8262,7922,7683,7430,6699,7631,
Thirst for Knowledge,90,4,,2771,6459,7740,8147,7504,6919,7439,7611,
Lucky Connections,95,4,,7419,6529,7268,6832,7780,8235,7291,7327,
Struck by Lightning,95,4,,7537,5373,7004,8282,7772,8156,6852,7076,
The Web,95,4,,7775,7099,6917,7789,7968,7146,7384,7226,
Alone in the Darkness,100,4,,661,5571,6209,6245,6804,6600,6636,6419,
The Cache,100,4,,3285,6251,6257,6621,7107,7200,6396,7146,
The Tower,100,4,,2814,5840,7142,7392,7349,7102,7236,6593,
The Inoculated,105,4,,6760,6600,6257,5126,6775,6727,6529,6361,
The Inventor,105,4,,6159,5538,6305,6453,6775,6171,5942,6217,
Time-Lost Relic,105,4,,2817,6600,6892,6578,6640,6089,6387,5990,
Last Hope,110,4,,6083,5242,6305,7132,6399,6007,6072,5943,
The Dragon,110,4,,5973,5772,6113,6537,7093,6213,6396,6084,
The Standoff,110,4,,1101,6216,5888,5999,6245,6610,6220,6103,
The Stormcaller,110,4,,1052,5144,6390,5677,6371,6801,6132,6380,
The Summoner,110,4,,6270,5571,5864,6705,7013,6621,5659,6284,
Volatile Power,110,4,,6583,5177,5631,6081,6210,6348,5659,5924,
The Penitent,115,4,,1668,5144,5876,5637,6294,5854,5804,5886,
The Trial,115,4,,6259,5472,5959,5677,5845,6296,5976,6217,
Hubris,120,4,,675,5340,4751,5878,5669,5433,5916,5433,
The Aesthete,120,4,,1544,6181,6018,6411,5845,5874,5315,5737,
The Battle Born,120,4,,7330,5209,5959,5088,6030,5813,5719,5589,
The Gladiator,120,4,,2325,4792,6018,6163,5771,5572,5583,5378,
Acclimatisation,125,4,,3350,2730,3282,3422,3462,3509,3690,3594,
Azure Rage,125,4,,0,2835,2494,3765,2884,2768,2952,2851,
Boundless Realms,125,4,,4948,5144,4576,5878,5595,5722,4880,5297,
Cameria's Cut,125,4,,695,571,569,551,753,813,4864,4667,
Cartographer's Delight,125,4,,4635,4203,3860,3321,4706,4764,4388,3779,
Chaotic Disposition,125,4,,3841,3440,3617,4191,3788,3717,3727,3706,
Cursed Words,125,4,,6756,3078,2565,3090,3360,3458,3639,3242,
Grave Knowledge,125,4,,3153,3051,2556,3288,3058,2976,2762,2880,
Jack in the Box,125,4,,4415,4264,4077,4520,4988,4576,4792,4650,
Left to Fate,125,4,,2865,2835,2380,3592,3047,3264,2945,2691,
Sambodhi's Vow,125,4,,4733,4386,5106,5088,5047,4604,4427,5188,
Shard of Fate,125,4,,5350,5177,4805,4155,5315,5354,5306,6009,
Society's Remorse,125,4,,3385,2625,3718,4012,3496,3348,3194,3428,
The Body,125,4,,2631,4112,4383,4447,4840,4622,5108,4624,
The Calling,125,4,,2452,3640,3932,4520,4492,4298,4019,4512,
The Endurance,125,4,,5387,5275,5332,6287,5615,5314,5240,4886,
The Fool,125,4,,3654,2862,3617,3592,3439,3314,3996,3499,
The Gambler,125,4,,4933,4479,4816,5438,5079,5373,5067,4546,
The Gemcutter,125,4,,20774,18419,20290,20663,20808,20984,19806,4939,
The Jeweller's Boon,125,4,,3564,2862,3677,3765,3682,4089,3293,3811,
The Lich,125,4,,5220,3815,4555,5204,4988,4613,4279,4435,
The Lion,125,4,,4330,3992,3340,3422,3859,3804,3749,3491,
The Master Artisan,125,4,,8618,7244,7831,8237,8219,7729,7805,3546,
The Mountain,125,4,,5097,4417,5423,5088,5112,4945,4929,4974,
The Porcupine,125,4,,4065,3105,3697,3456,3888,3586,3698,3682,
The Rabid Rhoa,125,4,,5209,4479,5173,5399,5223,5129,4888,4868,
The Risk,125,4,,367,5047,4674,4670,4827,4669,4986,4728,
The Skeleton,125,4,,5449,5373,5298,5399,5886,4935,5490,5830,
The Surgeon,125,4,,4941,4325,4805,4745,5027,4482,4888,4851,
The Surveyor,125,4,,4754,3243,4393,3941,4561,4792,4087,4257,
The Twins,125,4,,5022,4479,5286,4632,5210,4926,5043,4939,
The Valkyrie,125,4,,2486,3355,3517,4896,3445,3569,3588,3327,
The Watcher,125,4,,7468,2915,3728,3976,3906,3255,3757,3444,
The Wolf,125,4,,3095,4887,4938,6040,5375,4698,4816,4702,
The Wolf's Shadow,125,4,,6056,4142,4663,4820,5053,5070,4688,4291,
The Wretched,125,4,,2885,3355,4056,4373,4319,4717,4295,3958,
The Void,125,Boss,,9636,9253,9922,10898,10062,10023,0,0,
Blind Venture,150,4,4,436,2497,1648,2021,2149,2094,1989,1995,
Coveted Possession,150,4,,2909,2809,2267,3388,2873,2760,2850,2940,
Dying Anguish,150,4,,1671,1572,1664,1306,1412,0,2467,2393,
Emperor of Purity,150,4,4,1849,1616,1504,2078,1608,1840,1893,1777,
Forbidden Power,150,4,4,410,2100,1679,2769,2159,2001,1959,1969,
Gift of the Gemling Queen,150,4,4,2076,1841,1664,1637,2223,2044,2013,1790,
Hope,150,4,4,167,1911,1679,1690,2081,2131,1983,1924,
Humility,150,4,,12469,10175,4927,6411,3009,2791,2742,2547,
Lysah's Respite,150,4,,1180,1958,2140,2430,2066,2240,2227,2168,
Might is Right,150,4,,3972,2809,2977,3456,2666,2572,2525,2470,
No Traces,150,4,,2588,2246,2911,2430,2803,2473,2321,2814,
Prejudice,150,4,4,884,2052,1966,2311,2332,2226,1977,2074,
Scholar of the Seas,150,4,,6003,2197,2259,1611,2227,2102,2025,1937,
The Archmage's Right Hand,150,4,,1186,1196,1222,2552,2327,2344,2258,2215,
The Betrayal,150,4,,189,2809,2476,2960,2740,2541,2467,2512,
The Cataclysm,150,4,,2399,1796,2182,1936,2423,2572,2134,2021,
The Coming Storm,150,4,,2062,2125,2432,2896,2367,2382,2346,2442,
The Dapper Prodigy,150,4,,2643,2271,2637,3288,2227,2595,2403,2470,
The Drunken Aristocrat,150,4,,1695,2296,2930,1853,2257,2588,2397,2477,
The Feast,150,4,4,1097,2271,2191,2281,1971,2189,1935,1937,
The Fletcher,150,4,4,809,1728,2040,1744,2086,1903,2007,2021,
The Forsaken,150,4,,3239,2222,2098,2021,2168,2374,1893,1796,
The Fox,150,4,,2380,1841,2362,2021,1990,2059,2308,2283,
The Heroic Shot,150,4,4,2057,1401,1990,1533,2018,1799,1714,1937,
The Hoarder,150,4,,2623,2471,2810,2706,2740,2480,2429,2597,
The One With All,150,4,,780,2421,2056,2992,2342,2518,2352,2604,
The Poet,150,4,4,472,1507,2090,2135,1802,1854,2043,2028,
The Puzzle,150,4,,4980,5047,4905,2370,2495,2557,2604,2435,
The Rite of Elements,150,4,4,2084,1443,2191,2078,2464,2255,1748,2154,
The Ruthless Ceinture,150,4,,1173,2471,2574,2521,2703,2665,2669,2917,
The Scavenger,150,4,,1532,2149,2574,2928,2317,2066,2116,2048,
The Wilted Rose,150,4,,2692,2173,2450,3188,2448,2736,2703,2683,
The Wolf's Legacy,150,4,2,1444,1401,1885,1637,1853,2001,1590,244,
Broken Truce,175,3,4,0,1464,1408,1611,1635,1468,1607,1437,
Call to the First Ones,175,3,4,1546,1422,1250,1744,1564,1758,1383,1604,
Dialla's Subjugation,175,3,4,1451,1401,1065,1024,1106,1323,1131,1138,
Earth Drinker,175,3,4,1059,1256,1293,2021,1337,1398,1458,1449,
Ever-Changing,175,3,4,0,0,1229,1186,1353,1317,1341,1350,
Guardian's Challenge,175,3,4,1316,1078,1119,1611,1396,1379,1151,1484,
Heterochromia,175,3,4,443,1317,1467,1909,1770,1539,1708,1752,
The Deceiver,175,3,4,2261,1638,1656,1405,1308,1526,1513,1454,
The Easy Stroll,175,3,4,1475,1638,1618,1717,1657,1539,1394,1490,
The Fortunate,175,3,4,0,0,0,0,1226,1195,1192,1373,
The Golden Era,175,3,4,1282,1040,1364,1611,1345,1243,1294,1299,
The Insatiable,175,3,4,71,1002,1106,1559,1218,1329,1072,1209,
The Mercenary,175,3,4,650,1572,1633,1507,1516,1348,1442,1514,
The Price of Protection,175,3,4,1599,1059,1602,1209,1612,1373,1507,1556,
Vile Power,175,3,4,1208,0,1328,1306,1590,1262,1447,1544,
Alivia's Grace,175,4,4,0,0,1437,2106,1798,1651,1864,1727,
The Beast,175,4,4,3854,1401,1797,1690,1793,1882,1601,1924,
The Oath,175,4,4,1970,1443,1829,1936,1905,1657,1442,1556,
The Pack Leader,175,4,4,1269,1638,1813,1431,1766,1785,1754,1989,
The Union,175,4,4,5212,4022,4783,5126,5203,5109,5100,1132,
The Admirer,175,Boss,4,1453,1486,1695,1533,1564,1591,0,0,
The Fathomless Depths,175,Boss,4,1235,1137,1208,1356,1370,1160,0,0,
The Messenger,175,Boss,4,1215,1059,1194,979,1271,1280,0,0,
A Mother's Parting Gift,200,3,4,24257,2125,841,1092,1142,904,1127,1042,
Atziri's Arsenal,200,3,4,1720,1297,1013,891,1218,1032,1131,1316,
Death,200,3,4,4549,1216,948,1092,1197,1274,1217,1344,
Lingering Remnants,200,3,3,2132,1728,1837,2281,1146,1113,1014,888,
The Deal,200,3,4,965,1021,1039,1092,1021,1026,943,923,
The Dreamland,200,3,4,3375,2246,2745,1331,1197,1037,1136,1181,
The Encroaching Darkness,200,3,3,1604,820,733,979,1029,818,856,747,
The Forward Gaze,200,3,4,1246,820,1140,1356,1154,1154,995,928,
The Gentleman,200,3,4,4316,1117,1482,1209,1201,1219,1102,1449,
The Incantation,200,3,4,24227,1196,1208,1456,1271,1154,1192,1132,
The Innocent,200,3,4,1114,1317,1085,1162,1134,942,1058,1089,
The Landing,200,3,3,902,684,872,957,898,937,843,853,
The Lord in Black,200,3,3,1059,946,1013,1115,961,1148,874,800,
The Primordial,200,3,3,1658,838,709,1024,894,792,861,953,
The Realm,200,3,3,438,381,505,827,1071,855,934,878,
The Return of the Rat,200,3,3,0,0,866,806,946,797,820,948,
The Saint's Treasure,200,3,4,1175,983,961,1024,1158,1020,1043,1068,
The Traitor,200,3,4,1074,965,1188,891,1138,1262,1263,1165,
The Undaunted,200,3,3,425,751,835,935,961,823,888,903,
The Wolverine,200,3,4,1482,1256,1208,1533,1279,1207,1102,1373,
Triskaidekaphobia,200,3,4,1104,1002,1153,1356,1158,1354,1072,1154,
The Dark Mage,200,,3,969,751,916,1069,1002,937,953,995,
Demigod's Wager,225,3,3,551,651,537,588,642,695,576,641,
Haunting Shadows,225,3,3,562,230,224,411,298,612,540,691,
Immortal Resolve,225,3,3,653,602,613,551,635,641,834,696,
The Bear Woman,225,3,3,725,635,762,684,780,655,724,868,
The Celestial Justicar,225,3,3,731,602,703,913,858,761,829,628,
The Fox in the Brambles,225,3,3,1864,480,715,744,791,670,759,668,
